id,context
18,"Okay first of all, I didn't sit down to watch the premier of a ""Star Trek"" Series to see a cowboy flying around in space. this is how a normal Enterprise episode works 1 Archer finds a nebula or something aloung the lines of that and wants to take a closer look but it might destroy the ship. 2 he sends a shuttle into the nebula and and the shuttle get damaged... in all of the episodes I have seen, all of the problems are happening because of Archer's stupid mistakes."
19,"While it's early to say how the series will evolve, I can say that the pilot was less than I thought it would be. There is still potential for the series, however. Of course when I first saw Voyager I thought it had potential, too - but was sorely disappointed."
20,"I'm not a huge Star Trek fan, but I was looking forward to this. I was intrigued by the pre-hype descriptions of the Enterprise, its cramped-submarine styling and rough-edged technology compared to the Treks we are used to. I didn't see anything all that interesting in this pilot."
21,"The earlier part of the film was rather enjoyable but towards the end it became trite. Although Turturro is an actor I generally like, his Luzhin often resembled a bad Rain Man impression and the portrayal of the genius as a semi-autistic man was annoying. Overall it seems as if this film is trying to hard and ends up looking pompous in spite of mostly fine performances."
22,"a movie that attempts to be far smarter than its makers are capable of producing. the movie twists and turns through miriad plot ""surprises"" at a desperate attempt to kep the audience guessing, offcourse puncturing the ""plot"" with steamy scenes they thought would help it along. james belushi is involved in this pseudo-intellectual attempt and just sleep walks through the movie."
23,"If you can imagine Mickey Mouse as a New York street pimp, or John Wayne as a Communist spy, then you might believe Pat Boone as a juvenile delinquent on his uncle's farm in Kentucky and you could conceivably enjoy this movie. This film is so stupid that it isn't even campy for a mid 1950s sexless love story. And the problem is that Hollywood made such a big deal about Pat Boone's refusal to kiss a woman not his wife on screen before its release that the audience knows he won't kiss Shirley Jones so you cannot build any anticipation for the ""screen consummation"" of their love."
24,"I really wanted to like this western, being a fan of the genre and a fan of ""Buffalo Bill,"" ""Wild Bill Hickok,"" and ""Calamity Jane,"" all of whom are in this story! Add to the mix Gary Cooper as the lead actor, and it sounded great. The trouble was.....it wasn't."
25,"I have always admired Susan Sarandon for her integrity and honesty in her private life as well as her talents as an actor. I therefor found it strange that she would appear in a film that so distorted that facts. Her character's rescue from the South Pole was done by a Canadian charter company from Edmonton, Alberta flying a Canadian designed and built Twin Otter aircraft."
26,"Warning Spoilers following. Superb recreation of the base in Antarctica where the real events of the film took place. Other than that, libelous!, scandalous!"
27,"OK first of all the video looks like it was filmed in the 80s I was shocked to find out it was released in 2001. Secondly the plot was all over the place, right off the bat the story is confusing. Had there been some brief prologue or introduction the story would've been better."
28,"Zu Warriors most definitely should've been an animated series because as a movie it's like watching an old anime on acid.The movie just starts out of nowhere and people just fly around fighting with metal wings and other stupid weapons until this princess sacrifices herself for her lover on a cloud or something.Whether this princess is a god or an angel is beyond me but soon enough this flying wind bad guy comes in and kills her while the guy with the razor wings fights some other mystical God /Demon/Wizard thing.The plot line is either not there or extremely hard to follow you need to be insanely intelligent to get this movie.The plot soon follows this Chinese mortal who is called upon by this god to fight the evil flying,princess killing bad guy and soon we have a very badly choreographed Uwe Boll like fight scene complete with terrible martial arts on a mountain or something.Even the visuals are weird some might say they are stunning and colorful but i'm going to say they are blurry and acid trip like (yes that's a word! ).I watched it both dubbed and with subtitles and both were equally bad and hard to understand....who am i kidding i didn't understand it at all.It felt like i was watching episode 30 of some 1980's anime and completely missed how the story began or like i started reading a comic series of 5 at number 4 because i had no clue how this thing started where it was going or how it would end i was lost the entire time.I can honestly say this was one of the worst film experiences ever it was like watching Inu-Yasha at episode 134 drunk...yeah that's right you don't know what the hell is going on.Don't waste your brain trying to figure this out."
29,"This is not so much film as big budget children's television. As far as I can tell, the villain is a giant swarm of chocolate covered espresso beans. This theory seems to be verified by the fact that the subtitles refer to it as 'Insomnia'."
30,Watched this on DVD in original language with English subs. Either the subtitling was very poor or the actual dialog doesn't make much of story and give any character development. There are quite a few HK stars in this but the movie doesn't need their presence to make it better or worse.
31,"""Spielberg loves the smell of sentiment in the morning. But sentiment at the expense of narrative honesty? Nobody should love that."""
32,"You may consider a couple of facts in the discussion to be spoilers. I'm sorry, but Spielberg didn't deserve to win any Oscar for this piece, and I think the Academy was right in that vote. (Other Oscars for best actor nominations and such... that I don't know about."
33,"This is really terrible. The only redeeming feature about this movie is that the next time people ask me what is the worst vampire movie I have ever watched, I would have a suitable reply. I think it is filmed on 35 mm so it is already tacky like hell."
34,"Dude, really!!!! where have you guys been the past 20 years, this is shocking in all kind of ways, horror ? This is a joke, there is nothing wrong with being low budget, but this is a laugh, If you want to look at the classics, Freaks of Tod Browning, the victims of Dracula and Frankenstein, the Undying Monster, Ernest Thesiger, Paul Wegener's The Golem and the passengers of The Ghost Train, you can't compare it, it gives it a bad name, bad acting, bad screenplay etc."
35,"Well, you know the rest! This has to be the worst movie I've seen in a long long time. I can only imagine that Stephanie Beaham had some bills to pay when taking on this role."
36,"I'm in Iraq right now doing a job that gives plenty of time for watching movies. We also have access to plenty of pirated movies, this gem came along with 11 other movies, and this is easily the worst I've seen in a long time. I've seen a few other reviews that claim this movie doesn't take itself too seriously, but really, I think that's a cover up for the fact that its horrible."
37,"""Valentine"" is another horror movie to add to the stalk and slash movie list (think ""Halloween"", ""Friday the 13th"", ""Scream"", and ""I Know What You Did Last Summer""). It certainly isn't as good as those movies that I have listed about, but it's better than most of the ripoffs that came out after the first ""Friday the 13th"" film. One of those films was the 1981 Canadian made ""My Bloody Valentine"", which I hated alot."
38,There's one line that makes it worth to rent for Angel fans. Everyone else: this is just a very bad horror flick. The female characters are typical horror movies females.
39,"There are so many puns to play on the title of the spectacularly bad Valentine that I don't know where to begin. I will say this though; here is a movie that makes me long for the complexity of the Valentine cards we used to give out in elementary school. You know, the ones with Batman exclaiming ""You're a super crime-fighting valentine!"""
40,"There is no way to describe how really, really, really bad this movie is. It's a shame that I actually sat through this movie, this very tiresome and predictable movie. What's wrong with it?"
41,"In an attempt to bring back the teen slasher genre that was taken away by spoofs like Scary Movie and Shriek if you know what I did last Friday the 13th, Valentine fails. Why did people like Halloween? Because it was original, new and went beyond anything that's ever been done."
42,"Firstly, there are some good things about this film, but it's all cliche slasher stuff combined with a teen movie. In the advertising of this movie, that I've seen, a large emphasis was on the fact that Denise Richards is in it, but she's a poor actress, and not as good looking as people try to make her out to be (not that that has anything to do with the movie). And what's with that look she gives everyone?"
43,"This stalk and slash turkey manages to bring nothing new to an increasingly stale genre. A masked killer stalks young, pert girls and slaughters them in a variety of gruesome ways, none of which are particularly inventive. It's not scary, it's not clever, and it's not funny."
44,Valentine is a horrible movie. This is what I thought of it: Acting: Very bad. Katherine Heigl can not act.
45,This movie was rented by a friend. Her choice is normally good. I read the cover first and was expecting a good movie.
46,"The Good: I liked this movie because it was the first horror movie I've seen in a long time that actually scared me. The acting wasn't too bad, and the ""Cupid"" killer was believable and disturbing. The Bad: The story line and plot of this movie is incredibly weak."
47,"Its plain to see why the makers of Scary Movie found it so easy to spoof these 'teen slasher' movies. They are so unbelievably formulaic. And if Valentine had been released a year or so earlier, I'm sure they would have been spoofing this film too - that's if they found any actual original material to distinguish it from the Screams, I know what you did last summers, and Urban Legends."
48,"***SPOILERS*** ***SPOILERS*** Are all teen slasher flicks suffering from a drought of originality? It awfully seems so. First of all, this is a noble premise that could've been utilized well."
49,"here was no effort put into Valentine to prevent it from being just another teenage slasher film, a sub-genre of horror films of which we have seen entirely too many over the last decade or so. I've heard a lot of people complaining that the film rips off several previous horror movies, including everything from Halloween to Prom Night to Carrie, and as much as I hate to be redundant, the rip off is so blatant that it is impossible not to say anything. The punch bowl over poor Jeremy's head early in the film is so obviously taken from Carrie that they may as well have just said it right in the movie (`Hey everyone, this is the director, and the following is my Carrie-rip-off scene."
50,This movie in away was super-clever. It's theme rhymes with every single horror movie ever made. Valentine makes ZERO attempt to be original.
51,"Well the reason for seeing it in the cinema was that it was a sneak preview, else I would never have seen this terrible teenage slasher movie. I mean haven't we had enough of this yet? Scream and Scary Movie at least did not take them self serious!"
52,"""In 1955, Tobias Schneerbaum disappeared in the Peruvian Amazon. One year later he walked out of the jungle...naked. It took him 45 years to go back."""
53,"So, where are the cannibals? Those intrigued by the title and the 'real cannibal' appeal of this film will be let down. Instead, we are shown a strange man and his re-visiting of a Papua New Guinea village full of natives, one of whom was his lover several decades prior."
54,"Well, where to begin? I guess I can start with the general complaint regarding the way in which this film is marketed. Call me ignorant for not knowing of Schneebaum's book before viewing the documentary that has been based off of it and decide that I have been living under some kind of a rock, but don't blame me for picking this movie up since the title and the description on the box makes no note of the fact that this ""documentary"" is actually a companion to said book."
55,"I Am Curious is really two films in one - half of it is the sexual experimental side of Lena and the other half is her curiosity with political/socialism. Whatever the director's intention, the two don't really mesh together. The director should have just stuck with the romantic side of Lena and made a separate movie for the politics."
56,"This film, once sensational for its forward-thinking politics and depictions of free love and sexual liberation, has been reduced by time to a mere curiosity. It seems absurd now that this mostly boring little film had been banned and seized by governments in many countries. Given how socialistic Sweden eventually became, the 'radicalism' of its politics, once controversial, appear naive and almost mainstream four decades later."
57,"The plot line of No One Sleeps is not a bad idea, and the subject matter is of quite a bit of interest. But, throughout watching this film, we were saying aloud, ""These filmmakers go to the trouble of finding good locations, the lighting is good, makeup and hair are good...why is the sound so bad?"" Throughout the film the sound was echoy, garbled and much of the dialog was unintelligible."
58,Hail Bollywood and men Directors ! Really this is the ultimate limit in utter sacrifice made by Indian Woman ! !
59,"This movie is traditional bollywood fare as far as the star power, sentimentality and love triangle of emotions. What really bothered me about this movie was the makers' absurd notion of surrogate mother. A whore who conceives a child with someone after have sex with the man (of the family desiring a child) is not a surrogate mother."
60,I wonder if there is any sense of sense in this movie. Its a big joke. Good.. Its entertaining .. You get to see the most stupid plot played very seriously in the form of a film ..
61,"The TV guide calls this movie a mystery. What is a mystery to me is how is it possible that a culture that can produce such intricate and complex classical music and brilliant mathematicians cannot produce a single film that would rise above the despicable trash level this film so perfectly represents. This is Bollywood at its best/worst, I honestly cannot tell the difference."
62,"... but the keyword here is ""usually."" I have been known to adore movies EVERYONE thinks are dumb. But in the world of B-rated movies, THIS one is Z-rated."
63,"Don't even ask me why I watched this! The only excuse I can come up with that I was sick with Bronchitis and too weak to change the channel. :) It's too terrible for words, the movie that is, not the Bronchitis."
64,"The French film ""Extension Du Domaine De La Lutte"" directed by iconoclast film maker Philippe Harel is based on the book of the same name written by a controversial writer Michel Houellebecq.He has also worked on this film's scenario.According to British cinema magazine Sight and Sound,it is also known as ""Whatever"".This film has been hailed as a breath of fresh air for French cinema due to its not so common theme of sexual politics and its implications on two stupid information technology workers.The film is marred by its much too evident voice over which introduces us to the main character.This makes us viewers feel as if we are watching a book that is bring read. The basic premise of problems related to loneliness due to chronic sexual drought is fine but the film goes out of hand once the hero starts recounting the misery faced by him and his friend.Instead of sticking to its main topic the film veers in other directions leading to its downfall.Beware:some women viewers might find not only the film but even its two heroes as moronic misogynists."
65,"Two years ago, on Berlin Film Festival we watched the Amos Kollek movie ""Sue"" in the Panorama program, with a wonderful Anna Thomson in the leading part. It's a film about loneliness and sex, and how the one thing is compensated by the other. In the same section on the Festival now we have to complain the superfluous antithesis of Sue, ""Extension du domaine de la lutte"", which now tries to convince us that loneliness and having NO sex is one and the same problem."
66,Blank check is one of those kids movies that could have been a great suspense thriller for the kids but instead it's a tired lame home alone ripoff that isn't worth a dime. Quigley is a criminal who just escaped from jail and gets his hidden million dollars from a big score and then we meet Preston a frustrated kid whose room is taken over by his brothers to start a business and obviously dad treats his brothers better because they make money the same day he goes to a kid's birthday party and since his dad is a cheapo he goes on little kids rides while the other kids go on roller coasters then he receives a birthday card and a check of 11 bucks how cheap is this family? So he goes to the bank to open an account and meets the gorgeous Shea Stanley were her parents mets fans?
67,Blank Check is a movie that I saw on TV one day and like most movies they air on TV Blank Check wasn't that good. First of all no one I have ever met has seen Blank Check and that includes people that grew up in the 90s. Also Blank Check won't be remembered in the 00s either simply due to the fact that it will be overshadowed by pixar's films.
68,"I saw this movie once a long time ago, and I have no desire to ever see it again. This movie is about Preston Waters, a hard-lucked preteen, who always seems to be overlooked by his family and who always seems to be short on cash. All this changes when a bank robber runs over Preston's bike and passes him a blank check as compensation."
69,"The worst movie I have seen in a while. Yeah its fun to fantasize, but if that is what you are looking for, I suggest you see Brewsters Millions. This was just terrible and corny and terrible at being corny."
70,"Blank Check is easily one of the worst films of the nineties. The plot is completely pointless; its overtones of lonliness are pathetic. Do you really believe a twelve year old acting as a personal assistant for a millionaire could accomplish everything in this film, like buying a mansion for a mere $300 grand."
71,"I almost called HBO and demanded my money back for the month just because they've been airing this movie. I can just see the movie execs sitting around going, ""Okay, we need to come up with something that's just like Home Alone, only we'll add a bunch of cash for the kid, hire cut-rate actors, and oh yeah, we'll make it a lot less funny!"" Okay, maybe not the last part, but that's basically what you've got here."
72,"This movie is really goofy! I saw it as an 11 year old, and even then I thought it was pretty ridiculous! I would only recommend this film to kids under the age of 12."
73,"A young boy comes into a lot of money and promptly begins to live it up. Unfortunately, the man whose money it really is happens to be very bad. He wants his loot back."
74,"Bad Actors, bad filming, choppy dialog, shallow characters, but then again it was a bad premise in the first place. Basically, an 11 year old who is bullied because he has very little money is given a blank check by a moronic criminal. Of course, the 11 year old happens to possess enough technology and intelligence to purchase a house, cash a check for 1,000,000 dollars, and even foil three bumbling idiots, reminiscent of the three stooges."
75,"Bad plot, bad dialogue, bad acting, idiotic directing, the annoying porn groove soundtrack that ran continually over the overacted script, and a crappy copy of the VHS cannot be redeemed by consuming liquor. Trust me, because I stuck this turkey out to the end. It was so pathetically bad all over that I had to figure it was a fourth-rate spoof of Springtime for Hitler."
76,"Larry Buchanan. Yep, same guy who did ""Attack of the THE Eye Creatures"" and two (count 'em: TWO) conspiracy movies about Marilyn Monroe. He's to blame, here."
77,"what ends up killing this movie is its self-consciousness, among other things. here's a short list: 1. irreverent behavior. when the beatles came over and injected their brand of ""quirky, irreverent"" behavior/humor, it was greeted as fresh."
78,"Not to be confused with the Madonna film ""The Next Best Thing"", ""The Last Big Thing"" is a silly, campy, off-the-wall comedy about a man who yearns to start a magazine called ""The Next Big Thing"" which reviews a variety of up and coming artists. This low budget indie makes ""Chuck and Buck"" look like a masterpiece. Fraught with lousy acting, poor sets and costuming, etc., ""...Thing"" has earned some awful reviews and to date has only been nominated for one fringe award."
79,"After reading the book, I loved the story. Watching the movie I was disappointed that so many changes were made. It is understandable that books and movies differ but it was two different stories, only the names and some of the book's story remained."
80,"I read the book and really enjoyed it from beginning to end. However, when I saw the movie I was very disappointed. First of all, no disrespect to Deborah Raffin but she was too mature to play a woman of 24/25."
81,"I've seen my fair share of badly thought-out endings and final twists to films, but I don't recall any film that committed outright suicide like this one did. The film makers were clearly hoping that the great twist would 'surprise' us all.... and it did, but perhaps not in the way the directors had hoped. I was left feeling surprised that Connery, Harris, Fishburn and Capshaw had anything to do with this turkey, individually or collectively."
82,"Paul Armstrong is a liberal, Scottish-born, professor of law at Harvard, known for his passionate opposition to the death penalty, who is hired to take on the case of Bobby Earl, a young black man from Florida who has been convicted of the rape and murder of Joanie Shriver, an eleven year old white girl. Earl claims that his confession to the crime was obtained under duress by a sadistic police officer and that the real murderer is Blair Sullivan, a serial killer already under sentence of death for several other murders. Armstrong visits Sullivan in his cell on death row, hoping to persuade him to confess to Joanie's murder, thereby saving Earl from the electric chair."
83,"JUST CAUSE showcases Sean Connery as a Harvard law prof, Kate Capshaw (does she still get work?) as his wife (slight age difference) and Lawrence Fishburne as a racist southern cop (!) and Ed Harris in a totally over the top rendition of a fundamentalist southern serial killer."
84,"The form of the film is that of a suspense shocker. There are surprises, twists and turns, reverses and excitements. At times, this is truly an ""edge-of-the-seat"" film."
85,"Just Cause is one of those films that at first makes you wonder quite why it was so heavily slated when it came out - nothing special but competent enough and with an excellent supporting performance from Ed Harris. Then you hit the last third and everything starts to get increasingly silly until you've got a killer with a flashlight strapped to his forehead threatening to fillet Sean Connery's wife (a typically mannered and unconvincing Kate Capshaw) and kid (a very young Scarlet Johannsen) in an alligator skinner's shack. The kind of movie that's probably best seen on a plane, and even then only once."
86,"Look carefully at the wonderful assortment of talent put together to make this movie: Connery, Fishburne, Capshaw, Harris, Underwood, Beatty, Thigpen, even cameos by Slezak, Lange, and Plimpton. They prove, in spades, the adage that a good cast cannot save a bad script. The story line requires so many leaps of faith from the audience that its implausibility should have exceeded even Hollywood standards."
87,"As other reviewers have noted the film dies in the last 1/2 hour. However before that it suffers from predictability and a stunningly vapid performance by Kate Capshaw, who clearly never found her character and ruins every scene she's in. Connery is fine as is Fishbourne, but most scenes are manipulated for effect rather than truth which overlays the entirety with a sense of unreality."
88,Seems that the cast should ensure at least an average movie. And so I sat down for 102 minutes of unbelief. Beside Ed Harris no-one seems to own the skills of acting.
89,1st watched 2/16/2002 - 4 out of 10(Dir-Arne Glimcher): Mystery? ?/Thriller with too many ridiculous plot twists. Despite the very talented cast this movie is way too predictable and just downright under-estimates it's audience.
90,"The performances of Fishbourne (who appears strangely funny somehow) and (short featured)Ed Harris are remarkable, unlike Connery's who doesn't appear to find sense in his role and ends up in the motorial behaviour of a 80yr old man. In fact the screenplay doesn't make sense; imagine a 60 min. happy ending-plot plus a sudden turn appendix without any argumental structure in respect to the characters."
91,"A pot - boiler if ever I saw one. A supposed thriller borrowing from ""A Time to Kill"", ""Silence of the Lambs"", even an inverted ""In the Heat of the Night"" with a little reverse murder, a la ""Strangers on a Train"" thrown in, it fails abysmally where all the above, to a large degree, succeeded. Namely, in delivering thrills."
92,"This movie is a crappy and forgettable Sean Connery vehicle. The performances are generally crappy especially by Capshaw, Fishburne, and the usually solid Ed Harris. Connery seems miscast as a Harvard Academic."
93,This is just a case of a previously worthless island changed into something worthwhile. Jesus Christ people lets throw a big fit over 2000 islanders big deal.This is just a case of a previously worthless island changed into something worthwhile. Jesus Christ people lets throw a big fit over 2000 islanders big deal.This is just a case of a previously worthless island changed into something worthwhile.
94,"Because IT IS, that's why! This is the same jealous-daughter-kills-people flick we've seen a billion times. Rosanna Arquette makes anything worth watching, and Mandy Schaffer's brief nude scene (after teasing via scantily clad attire throughout the film) at the end almost make this trite blarney worthwhile, but not quite."
95,"This can't be Mandy Schaffer's last film. Somebody, do something! :-( Argh."
96,"Let me be really clear about this movie. I didn't watch this movie because of the plot, I watch it for the saucy sex scenes. That being said, this movie is so god damn awful I flip between pure joy of seeing a godly body of Traci (Mandy Schaffer) and cringing my eyeballs out for the disaster of a plot."
97,"A truly, truly dire Canadian-German co-production, the ever-wonderful Rosanna Arquette plays an actress whose teenage daughter redefines the term ""problem child"" - a few uears prior to the ""action"" the child murdered her father, and mum took the fall for the offspring. Now she's moved up to the Northwest US to start over, but her child still has a problem in that she's devoted to her mother. So devoted in fact that she kills anyone who might be seen as a threat to their bond."
98,"This movie is so bad, I knew how it ends right after this little girl killed the first person. Very bad acting very bad plot very bad movie do yourself a favour and DON'T watch it 1/10"
99,"Oh man. If you want to give your internal Crow T. Robot a real workout, this is the movie to pop into the ol' VCR. The potential for cut-up lines in this film is just endless."
100,"I am guessing the reason this movie did so well at the box office is of course Eddie Murphy. I think this was his first movie since ""Beverly Hills Cop"" so at the time he was hot. Considering that one made over two hundred million and it was R and this one made about 80 million and it was pg does say it was not all that popular."
101,"Unlike ""The Adventures of Buckaroo Banzai"", or ""Big Trouble in Little China"", or ""Conan the Barbarian"", which are horrible films that have a certain coolness and self-deprecating humor that turn them into cult sensations, The Golden Child is just plain bad. The premise itself is not unworkable, and there are some funny moments. But here the Eddy Murphy ""flip attitude"" just deflates any feeling of tension or danger in the story."
102,"Definitely one of funny man Eddie Murphy's lesser films is this nonsense about a kidnapped mystical child, three hundred year old dragons and a ""Chosen One"". Murphy is the ""Chosen One"" in question, and as the opening song suggests, he is ""the best man in the world"". A finder of lost and missing children, he is approached by a mysterious Tibetan woman (Charlotte Lewis) who tells him he is ""The Chosen One"", and that it is his destiny to find and rescue ""The Golden Child""."
103,"Well, what's to say. THE GOLDEN CHILD falls in the category ""so bad, it's good"". Eddie Murphy is having some funny (and sometimes quite annoying lines), but you are still entertained."
104,"Why is it that when a star reaches the top of the star chain, they ruin all the good work by making a bad movie? Burt Reynolds peaked, then started making dreadful Hal Needham car chase flicks. Arnold Schwarzenegger became the hottest property in Hollywood, only to invite derision upon himself with the appalling Last Action Hero."
105,"Michael Jackson would have claimed a spot for the top-billed character in THE GOLDEN CHILD, and because he loves kids. That didn't work (and why should it? ), so instead we have Eddie Murphy out to save the world by rescuing ""Kid Midas""."
106,"Bad movie for sure. It's such a ridiculous fantasy with a lot of poor special effects, a lot of hasty scenes (the airport one for example), and a real unfunny time. (Charles Dance) is awful as the evil guy and he is much better in (Last Action Hero)."
107,"I remember when THE GOLDEN CHILD was released in 1986 it was universally panned by the critics , and I`m talking panned so badly that it more or less ended the glittering career of Eddie Murphy so I guess this movie has something going for it It gets off to a bad start where Buddist monks kneel in front of a child with a blank expression on his face . Bad guys enter the temple Child sits with blank expression Bad guys chop up the monks Child sits with blank expression Bad guys pull out giant bird cage and stick the child inside who now sits with ... Go on guess ? You do get the impression that even if they were taking him for a sleepover at Michael Jackson`s wonderland ranch he`d still give the same blank expression , this movie would be better titled THE WOODEN CHILD The title sequence starts and being a movie from the 1980s a pop soundtrack features heavily ."
108,I will start this off by saying I couldn't get all the way through it. I picked it up on a rainy day from WalMart like the rest of the reviewers on this site. I figured there wasn't any way I would regret my purchase.
109,"I can say without a shadow of a doubt that Going Overboard is the single worst film i have ever seen, and yes, I have seen Cujo. Adam Sandler is an abomination as Schecky Moskowitz, a wannabe comedian working on a cruise liner. That's the plot."
110,I wanted to punch the TV. Watching it was torture. I hated it.
111,First: I bought it at the video store. Second: I watched it. Third: It was boring.
112,"I am a HUGE Adam Sandler fan, and one day I was looking at the Cast&Crew selection on one of his DVD's and saw 'Going Overboard' and decided to go out and rent it. So I went out with a few buddies of mine and rented it. We put it on and we were shocked to see an Adam Sandler that didn't hit puberty yet, he looks as if he was 12 when this movie came out."
113,"Even if you're a huge Sandler fan, please don't bother with this extremely disappointing comedy! I bought this movie for $7.99, assuming it has to be at least halfway decent since my man Sandler is in it and because I assumed some women would get naked (judging by the R-rating and scantily-clad women on the cover). Well, there are quite a few scantily-clad women, but none get naked."
114,"This early Adam Sandler film could be compared to his life as a comic during the same period in 1989. His character's constant acknowledgement of his hidden comic genius and frustration regarding humorous material seems to come more from Sandler than the script. The film is nothing compared to his blockbuster feature films, such as Big Daddy or even the corny Billy Maddison."
115,"Having decided some time ago to collect the films of Billy Bob Thornton (on the strength of class movies like ""Sling Blade"", ""A Simple Plan"" and ""The Man Who Wasn't There"" amongst others), it was inevitable that there would be the odd turkey in there. What I didn't realise however, was that there could be one THIS bad. I'll give you an idea how incredibly poor this film is - the funniest dialogue in it goes like this: ""Knock Knock"", ""Who's there?"
116,"Worst mistake of my life. I picked this movie up at Target for $5 because I figured, ""Hey, it's Sandler I can get some cheap laughs"". I was wrong, completely wrong."
117,"This movie was so bad I couldn't sit through it without doing something else. There was no plot and no point. I was thoroughly bored and for a film about a stand up comedian, I couldn't recall one joke or funny line worthy of the description."
118,"I saw this movie about 5 years ago, and the memory of it still haunts me to this day. I was fully aware at how awful it was supposed to be going into it, so I have only myself to blame. But like most, I didn't believe all the negativity."
119,"Shecky, is a god damned legend, make no mistake. Until recently I worked for a UK HiFi & Video retail chain, running their testing department. We would go through many new starters, they would be expected to to learn how to fault find the various detritus that returns as non functional in one way or another from the stores."
120,With Adam Sandler. This is without a doubt one of the most idiotic films ever made. It's about cruise ship waiter Shecky (Sandler) wanting to be a comedian on the cruise ship.
121,"A friend of mine bought this film for £1, and even then it was grossly overpriced. Despite featuring big names such as Adam Sandler, Billy Bob Thornton and the incredibly talented Burt Young, this film was about as funny as taking a chisel and hammering it straight through your earhole. It uses tired, bottom of the barrel comedic techniques - consistently breaking the fourth wall as Sandler talks to the audience, and seemingly pointless montages of 'hot girls'."
122,"I stole this movie when I was a freshmen in college. I've tried to watch it three times, the second two because friends wanted to see it. ""Sweet, Adam Sandler, I've never heard of this movie, but since he's so funny its gotta be funny."""
